phase,phase_epoch,epoch,learning_rate,train_loss,train_accuracy,train_precision,train_recall,train_f1,train_clean_loss,train_clean_accuracy,train_clean_precision,train_clean_recall,train_clean_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1,epoch_time_seconds,max_gpu_memory_mb,trainable_parameters
finetune,11,23,0.0001,0.01109833081252873,0.9966666666666667,0.9933774834437086,1.0,0.9966777408637874,0.005054339561611414,1.0,1.0,1.0,1.0,0.020480138063430787,0.99,1.0,0.98,0.98989898989899,1.1220070339986705,230.8,414722
finetune,12,24,0.0001,0.008705075979232788,1.0,1.0,1.0,1.0,0.00481181224497656,1.0,1.0,1.0,1.0,0.019094409942626952,0.99,1.0,0.98,0.98989898989899,1.1730467859997589,230.8,414722
finetune,13,25,0.0001,0.006281275351842245,1.0,1.0,1.0,1.0,0.004066239992777506,1.0,1.0,1.0,1.0,0.01928171157836914,0.99,1.0,0.98,0.98989898989899,1.1056845669991162,230.8,414722
finetune,14,26,0.0001,0.006471299724653363,1.0,1.0,1.0,1.0,0.0036397210725893575,1.0,1.0,1.0,1.0,0.020809381008148192,0.99,1.0,0.98,0.98989898989899,1.131518212001538,230.8,414722
finetune,15,27,0.0001,0.008165510098139445,1.0,1.0,1.0,1.0,0.003352408412223061,1.0,1.0,1.0,1.0,0.019111026525497437,0.99,1.0,0.98,0.98989898989899,1.0755938350012002,230.8,414722
finetune,16,28,0.0001,0.006181896924972534,1.0,1.0,1.0,1.0,0.003194751739501953,1.0,1.0,1.0,1.0,0.019078010320663454,0.99,1.0,0.98,0.98989898989899,1.0955897269996058,230.8,414722
finetune,17,29,0.0001,0.0033670632052235304,1.0,1.0,1.0,1.0,0.0030582062372316917,1.0,1.0,1.0,1.0,0.01664052367210388,0.99,1.0,0.98,0.98989898989899,1.1370216549985344,230.8,414722
finetune,18,30,0.0001,0.006783998024960359,1.0,1.0,1.0,1.0,0.0028844487698127825,1.0,1.0,1.0,1.0,0.016176878213882445,0.99,1.0,0.98,0.98989898989899,1.1351590609992854,230.8,414722
finetune,19,31,0.0001,0.005718504594018062,1.0,1.0,1.0,1.0,0.0028262937037895125,1.0,1.0,1.0,1.0,0.014312421083450317,0.99,1.0,0.98,0.98989898989899,1.0447746190002363,230.8,414722
finetune,20,32,0.0001,0.004893730885038773,1.0,1.0,1.0,1.0,0.0024375975131988525,1.0,1.0,1.0,1.0,0.016424216032028198,0.99,1.0,0.98,0.98989898989899,1.1323525869993318,230.8,414722
